image_id,source_identity,source_dataset,source_id,site_id,camera_id,timestamp,group_id,polarity,split,image_path,label_path,cohort,source_sha256,decoded_sha256,phash,annotation_count,classes_present,review_status,task_id
open-images-test-001efdd4bdffbfc7,open_images:test:001efdd4bdffbfc7,open_images,001efdd4bdffbfc7,,,,duplicate-b37a0c4037eb6cae9651,positive,train,images/train/open-images-test-001efdd4bdffbfc7.jpg,labels/train/open-images-test-001efdd4bdffbfc7.txt,public_v2,597a37269da6063be33e33a42ba32571c3b5f0f912478d198bf4227c0081e548,c6f86c63935fa579ef643decb15c4a7828e931dfbdd2bcc1dff0469c864eae0d,959f7a6885951a6a,1,car,source_verified,
open-images-test-002200be72145198,open_images:test:002200be72145198,open_images,002200be72145198,,,,duplicate-a0bb9f4ee6f31a79978e,positive,val,images/val/open-images-test-002200be72145198.jpg,labels/val/open-images-test-002200be72145198.txt,public_v2,13d86f9ffeba8d4f269496be83b6f596c0c385e7969ae092828f4e0779c27d0f,29b8c64ab87f83be24bd5d9f6c6deefea7be8a40c8afc15896cc9cea163055e2,bc3efe9cdc848301,25,person,source_verified,
open-images-test-00835f0fbe950715,open_images:test:00835f0fbe950715,open_images,00835f0fbe950715,,,,duplicate-70d53f99f308c176da7e,positive,train,images/train/open-images-test-00835f0fbe950715.jpg,labels/train/open-images-test-00835f0fbe950715.txt,public_v2,a8e674b78bcb8c814f0d128c3787332f149d31ff89e14ee0fea6474801a77786,9325116b2d6f412ca62d2ca0cca12d35f7eace03e864a0472394a510e8018eed,a480c7c6999b79e6,3,person,source_verified,
open-images-test-00f4d10c0878338b,open_images:test:00f4d10c0878338b,open_images,00f4d10c0878338b,,,,duplicate-ac33960f6d7cea25224e,positive,train,images/train/open-images-test-00f4d10c0878338b.jpg,labels/train/open-images-test-00f4d10c0878338b.txt,public_v2,5868fb79a3ca1e7614120c465b11c3327cea4358cc8b785f8bd714919f4c9334,db775a60510283ec0eee9308e58a6620528f4fbdb87c6b783688b3a09f2b5a97,c490ff4f0064bfd2,3,person,source_verified,
open-images-test-014ed3708b01f8d2,open_images:test:014ed3708b01f8d2,open_images,014ed3708b01f8d2,,,,duplicate-5750d18e7ec4f03bb888,positive,val,images/val/open-images-test-014ed3708b01f8d2.jpg,labels/val/open-images-test-014ed3708b01f8d2.txt,public_v2,cdaa78e134a30a467fa2bb0d8d9aa844da7fa7eacc2f82443661a367c9655042,6b3ff09f9aa7aecd362e9228acebd60b3f92e26a28f741c2da4142ea297c4405,c5d4107afa718a3b,1,person,source_verified,
open-images-test-0181113141f69df7,open_images:test:0181113141f69df7,open_images,0181113141f69df7,,,,duplicate-59e3818fa1ea327e518a,positive,train,images/train/open-images-test-0181113141f69df7.jpg,labels/train/open-images-test-0181113141f69df7.txt,public_v2,0afbb6dbe0dcef3f30cab0312978d7634a3131fe46508c91fb9a2ba02648cb7c,163365634421e583291ced1e4bad51a4cfe059fd4c0951403770cc675ac5e3b5,c592e8fa3d46c526,3,person,source_verified,
open-images-test-01e95e88e8e2ace2,open_images:test:01e95e88e8e2ace2,open_images,01e95e88e8e2ace2,,,,duplicate-777a0b2f48ba29d93a59,positive,train,images/train/open-images-test-01e95e88e8e2ace2.jpg,labels/train/open-images-test-01e95e88e8e2ace2.txt,public_v2,483aa5032b3e7462eda950a487c0f409a185740863a95717a1526db32558469a,89896d7cae6616f4bc075d9af0ac6e1e68b2d8c10a82ad08b1d3cced28b29e12,96b6ad6748484d5b,14,person,source_verified,
open-images-test-0223302c6dda41c2,open_images:test:0223302c6dda41c2,open_images,0223302c6dda41c2,,,,duplicate-7dd2909000251303cd5d,positive,train,images/train/open-images-test-0223302c6dda41c2.jpg,labels/train/open-images-test-0223302c6dda41c2.txt,public_v2,d93824eca0a1d27b4dceef58f92e9dda7d562049e6f7a04272a0ef182e06adb9,fd11dda3df685de9e3608c35ac05aaeb46420a7a1ad5e1caef8870299adedb98,9dc2e696c8999536,4,bus;person,source_verified,
open-images-test-02c41bf9d19fbae4,open_images:test:02c41bf9d19fbae4,open_images,02c41bf9d19fbae4,,,,duplicate-41bd3fec4773b25cd9fd,positive,train,images/train/open-images-test-02c41bf9d19fbae4.jpg,labels/train/open-images-test-02c41bf9d19fbae4.txt,public_v2,75eaa12a08b1d5dc57045bee037cc8e7eb6b4f004fca600ce0767de42b32ec0d,f57e08e28fe535837d23cdab758c57dc0011cc4eb38ac64fb93af7374ba2d30e,ab11ed4b868d195e,2,motorcycle;person,complete,
open-images-test-02fe6fa20e531d67,open_images:test:02fe6fa20e531d67,open_images,02fe6fa20e531d67,,,,duplicate-833ee59057b89b5d956b,positive,train,images/train/open-images-test-02fe6fa20e531d67.jpg,labels/train/open-images-test-02fe6fa20e531d67.txt,public_v2,6393c7ac546fb467ee3d9fc1ca08ffb9f568a1e26528d452803cd05827a8c3d5,b2fddfdf3943f8e5a18f09032b900b61e2ee2bd10f256ff77afcfa3d46509901,c57d1d3f260c3925,1,car,source_verified,
open-images-test-03092ceeef16cb24,open_images:test:03092ceeef16cb24,open_images,03092ceeef16cb24,,,,duplicate-252191376e97099da78c,positive,train,images/train/open-images-test-03092ceeef16cb24.jpg,labels/train/open-images-test-03092ceeef16cb24.txt,public_v2,e753f199ab58efc9dbf76087751ebe39f1f5ec84f412f474407d9d0d54976a53,129ffa51aa0ef8d728ee11104226f611c9205db81b52df4b8749417c419f839e,ff71d0bf71e00260,3,car;truck,source_verified,
open-images-test-033377a3132d26e9,open_images:test:033377a3132d26e9,open_images,033377a3132d26e9,,,,duplicate-47734a770dfee03e7a70,positive,train,images/train/open-images-test-033377a3132d26e9.jpg,labels/train/open-images-test-033377a3132d26e9.txt,public_v2,d273fc2407d86000c5f09627fd51fb7ea1d02b0f0d09e24e05e0a1736cb7a224,e48417c3c59a14bdbd051a9a5b3d241182dd7316caa4cd5faf567f8a4ac6021e,c50b299dda28bb3c,7,person,source_verified,
open-images-test-03d80a6b7334ee7b,open_images:test:03d80a6b7334ee7b,open_images,03d80a6b7334ee7b,,,,duplicate-a89c4ab3068a4a4ab7a2,positive,train,images/train/open-images-test-03d80a6b7334ee7b.jpg,labels/train/open-images-test-03d80a6b7334ee7b.txt,public_v2,6c01b0853f060626dffcb87f88310ae3d4d5dd7e4ba1425e06e20737074bc1ef,53604a659d1177e2e640aa20c315e473f3e086c903726636d4a85fb8619fae3d,ae16e519e5979823,1,motorcycle,complete,
open-images-test-03dc14885fc31cb2,open_images:test:03dc14885fc31cb2,open_images,03dc14885fc31cb2,,,,duplicate-ff482f6063a69d5f2da7,positive,train,images/train/open-images-test-03dc14885fc31cb2.jpg,labels/train/open-images-test-03dc14885fc31cb2.txt,public_v2,f6bd63dca477e7eb13abfa96542ab46ca71723d3001acdcbf6dbbd8cb7bab03c,ae6ddebdb6a297fdd9172edabcdb19b88ff0cf501a9892c9564e24c0414ba74e,a48356491939ffb2,1,bicycle,complete,
open-images-test-03e288996840786f,open_images:test:03e288996840786f,open_images,03e288996840786f,,,,duplicate-89c9db5e3d1aed0edf68,positive,train,images/train/open-images-test-03e288996840786f.jpg,labels/train/open-images-test-03e288996840786f.txt,public_v2,db55b144d1bb7f89f4ac915d536cd9e9b72ba0b6bd989848a7ba8145278df9a2,faecdb7e2ffb0f876c538e5cfdad54a90654a324adf50803cf7050868cd55a09,ec3791481d8767b2,1,car,source_verified,
open-images-test-03f59a39b2fac8bb,open_images:test:03f59a39b2fac8bb,open_images,03f59a39b2fac8bb,,,,duplicate-3d9d2d429edee2bb3f27,positive,train,images/train/open-images-test-03f59a39b2fac8bb.jpg,labels/train/open-images-test-03f59a39b2fac8bb.txt,public_v2,2c3be1c18945defb6195fe4a1122471271407cad53b629af81a678af1fba0b6d,c577ac3a29a874d8c04a095fcd5e7df419ba392e3d2020aacea4bd05a7223bdb,d825f703b1538c5b,1,person,source_verified,
open-images-test-040d22e91306e905,open_images:test:040d22e91306e905,open_images,040d22e91306e905,,,,duplicate-24704ddb50b30c4d38f6,positive,train,images/train/open-images-test-040d22e91306e905.jpg,labels/train/open-images-test-040d22e91306e905.txt,public_v2,a8c4cdc0f42b1857d34bd93b3f60fa1d4677b34f75132ab315cc740fbd5f993d,327d1ecdb51a56780ff28a0ae30a42d332caf4227e71b0459597c50a4e8500ec,97963ab1e59aa0a9,1,car,source_verified,
open-images-test-046fb4c2c6886095,open_images:test:046fb4c2c6886095,open_images,046fb4c2c6886095,,,,duplicate-151920b35f4778487f68,positive,train,images/train/open-images-test-046fb4c2c6886095.jpg,labels/train/open-images-test-046fb4c2c6886095.txt,public_v2,daf03c15e9146f3562fe78d0f60733988591a4e540074359fa0e54eb35ce5186,12507017d723f9b035ef362bd20229f45dc04a333702d366731328866dac1ace,e91196e8d2e45d2e,1,person,source_verified,
open-images-test-051df4cae715fc09,open_images:test:051df4cae715fc09,open_images,051df4cae715fc09,,,,duplicate-5d1f3d4f42e7fe9cb246,positive,train,images/train/open-images-test-051df4cae715fc09.jpg,labels/train/open-images-test-051df4cae715fc09.txt,public_v2,8ddb1919e7412d2b0b1fe5462761955dde2912aee5d10cdcb3ed03cc54c5df38,baa2393d67f028ea9b61e7e772d5ce3cc86c3a5a24531f4d6ab074321f2f633f,fbe8807d2535c9a4,1,car,source_verified,
open-images-test-054566c63a073074,open_images:test:054566c63a073074,open_images,054566c63a073074,,,,duplicate-d151dafb8ebce12c605e,positive,train,images/train/open-images-test-054566c63a073074.jpg,labels/train/open-images-test-054566c63a073074.txt,public_v2,9bd5cb8c9aa4e9c07de91685d3a4495fd284f06141056056ecfe979d1ed59021,740fdfe502b1d1968620ca1ed0ac1e164c89a7201fa92f9d0e1668bc353836af,8919b6467c2bc3b6,3,bus;car;person,source_verified,
open-images-test-0564ccd458714fb5,open_images:test:0564ccd458714fb5,open_images,0564ccd458714fb5,,,,duplicate-f28c7f71572cfbbfa766,positive,train,images/train/open-images-test-0564ccd458714fb5.jpg,labels/train/open-images-test-0564ccd458714fb5.txt,public_v2,fc589864a541aa7681be0f22859d0393d90bd751d5599e72421205936ca3a9e9,e0e1fe9130975aadf418b9d93dc10fbe42ba48ccc8b6c2c1d6fc25c9c7c4475e,ce7dffaa8184c106,1,car,source_verified,
open-images-test-0584d798831cb140,open_images:test:0584d798831cb140,open_images,0584d798831cb140,,,,duplicate-6841bf2a64554d906343,positive,train,images/train/open-images-test-0584d798831cb140.jpg,labels/train/open-images-test-0584d798831cb140.txt,public_v2,8bb1cb29d473d3f4651a2687fd31c9e2d9cf368614cd3fa1c8f31dee82bcfb42,f1eda4a9deadb93dd6e287fc3c8b45e5acd28ad9611fa76dc67ed9a05eaee92b,ebe3951c1ed0612b,2,car;truck,source_verified,
open-images-test-063568b8ff6f8caa,open_images:test:063568b8ff6f8caa,open_images,063568b8ff6f8caa,,,,duplicate-9066d61b25067fcdf30e,positive,train,images/train/open-images-test-063568b8ff6f8caa.jpg,labels/train/open-images-test-063568b8ff6f8caa.txt,public_v2,20bf482e616fe4d87cb7004234f94492c8ed2ea84d60929fcba3cf5f2b77ffaf,fe1e85ee4d4c42f2b36adb6202e96e3e1668136a1b1159ea772d2f2d46731669,cbab2626ca3334d9,1,car,source_verified,
open-images-test-064832320a7ff7e5,open_images:test:064832320a7ff7e5,open_images,064832320a7ff7e5,,,,duplicate-39d80ef202558e114089,positive,train,images/train/open-images-test-064832320a7ff7e5.jpg,labels/train/open-images-test-064832320a7ff7e5.txt,public_v2,7d69f74ace4a32723011888c193ce3fe7c7c99efc94cb14dac6a793ea7c5c179,f299ebe7858b3f896de83f355c8bc30bacc45b0057189259c3483e6593a4e8cd,c188e06b9c73d739,1,truck,complete,
