image_id,source_identity,source_dataset,source_id,site_id,camera_id,timestamp,group_id,polarity,split,image_path,label_path,cohort,source_sha256,decoded_sha256,compiled_sha256,phash,annotation_count,classes_present,review_status,task_id,parent_image_id,parent_source_sha256,view_kind,crop_x,crop_y,crop_width,crop_height,license_url,attribution
open-images-test-001efdd4bdffbfc7,open_images:test:001efdd4bdffbfc7,open_images,001efdd4bdffbfc7,,,,duplicate-b37a0c4037eb6cae9651,positive,train,images/train/open-images-test-001efdd4bdffbfc7.jpg,labels/train/open-images-test-001efdd4bdffbfc7.txt,public_v2,597a37269da6063be33e33a42ba32571c3b5f0f912478d198bf4227c0081e548,379d9f956cceac05a6ec5408ae19c65a65df42578b3bb4775613b283bf0605e2,597a37269da6063be33e33a42ba32571c3b5f0f912478d198bf4227c0081e548,959f7a6885951a6a,1,car,source_verified,,,597a37269da6063be33e33a42ba32571c3b5f0f912478d198bf4227c0081e548,full,,,,,,
open-images-test-002200be72145198,open_images:test:002200be72145198,open_images,002200be72145198,,,,duplicate-a0bb9f4ee6f31a79978e,positive,val,images/val/open-images-test-002200be72145198.jpg,labels/val/open-images-test-002200be72145198.txt,public_v2,13d86f9ffeba8d4f269496be83b6f596c0c385e7969ae092828f4e0779c27d0f,b8e5940811eb8c82ccb50fe430b0013848afaffe9911b6b6f1f5c7248cfaa888,13d86f9ffeba8d4f269496be83b6f596c0c385e7969ae092828f4e0779c27d0f,bc3efe9cdc848301,25,person,source_verified,,,13d86f9ffeba8d4f269496be83b6f596c0c385e7969ae092828f4e0779c27d0f,full,,,,,,
open-images-test-00835f0fbe950715,open_images:test:00835f0fbe950715,open_images,00835f0fbe950715,,,,duplicate-70d53f99f308c176da7e,positive,train,images/train/open-images-test-00835f0fbe950715.jpg,labels/train/open-images-test-00835f0fbe950715.txt,public_v2,a8e674b78bcb8c814f0d128c3787332f149d31ff89e14ee0fea6474801a77786,289082911f385a71226ca9a548f3244032ab9db457daee83955ab54724cf3d06,a8e674b78bcb8c814f0d128c3787332f149d31ff89e14ee0fea6474801a77786,a480c7c6999b79e6,3,person,source_verified,,,a8e674b78bcb8c814f0d128c3787332f149d31ff89e14ee0fea6474801a77786,full,,,,,,
open-images-test-00f4d10c0878338b,open_images:test:00f4d10c0878338b,open_images,00f4d10c0878338b,,,,duplicate-ac33960f6d7cea25224e,positive,train,images/train/open-images-test-00f4d10c0878338b.jpg,labels/train/open-images-test-00f4d10c0878338b.txt,public_v2,5868fb79a3ca1e7614120c465b11c3327cea4358cc8b785f8bd714919f4c9334,bcd6d60cc9ce13a049aad6cb4fc3f4b487bbf7e037df8b77c035f6f915cec967,5868fb79a3ca1e7614120c465b11c3327cea4358cc8b785f8bd714919f4c9334,c490ff4f0064bfd2,3,person,source_verified,,,5868fb79a3ca1e7614120c465b11c3327cea4358cc8b785f8bd714919f4c9334,full,,,,,,
open-images-test-014ed3708b01f8d2,open_images:test:014ed3708b01f8d2,open_images,014ed3708b01f8d2,,,,duplicate-5750d18e7ec4f03bb888,positive,val,images/val/open-images-test-014ed3708b01f8d2.jpg,labels/val/open-images-test-014ed3708b01f8d2.txt,public_v2,cdaa78e134a30a467fa2bb0d8d9aa844da7fa7eacc2f82443661a367c9655042,7c674f8f5e8378025323521588bd08a4dae1c4cd7dc8d7e03bf4904ebf46c95f,cdaa78e134a30a467fa2bb0d8d9aa844da7fa7eacc2f82443661a367c9655042,c5d4107afa718a3b,1,person,source_verified,,,cdaa78e134a30a467fa2bb0d8d9aa844da7fa7eacc2f82443661a367c9655042,full,,,,,,
open-images-test-0181113141f69df7,open_images:test:0181113141f69df7,open_images,0181113141f69df7,,,,duplicate-59e3818fa1ea327e518a,positive,train,images/train/open-images-test-0181113141f69df7.jpg,labels/train/open-images-test-0181113141f69df7.txt,public_v2,0afbb6dbe0dcef3f30cab0312978d7634a3131fe46508c91fb9a2ba02648cb7c,434f7b5e48dc8668f668408412971bb6c9fbfc865adcde3b1426746f7f3b3394,0afbb6dbe0dcef3f30cab0312978d7634a3131fe46508c91fb9a2ba02648cb7c,c592e8fa3d46c526,3,person,source_verified,,,0afbb6dbe0dcef3f30cab0312978d7634a3131fe46508c91fb9a2ba02648cb7c,full,,,,,,
open-images-test-01e95e88e8e2ace2,open_images:test:01e95e88e8e2ace2,open_images,01e95e88e8e2ace2,,,,duplicate-777a0b2f48ba29d93a59,positive,train,images/train/open-images-test-01e95e88e8e2ace2.jpg,labels/train/open-images-test-01e95e88e8e2ace2.txt,public_v2,483aa5032b3e7462eda950a487c0f409a185740863a95717a1526db32558469a,cbb48151fb742609e6408de1bd5957f4fa4bf64c80d7f604056f9f182daa56d5,483aa5032b3e7462eda950a487c0f409a185740863a95717a1526db32558469a,96b6ad6748484d5b,14,person,source_verified,,,483aa5032b3e7462eda950a487c0f409a185740863a95717a1526db32558469a,full,,,,,,
open-images-test-0223302c6dda41c2,open_images:test:0223302c6dda41c2,open_images,0223302c6dda41c2,,,,duplicate-7dd2909000251303cd5d,positive,train,images/train/open-images-test-0223302c6dda41c2.jpg,labels/train/open-images-test-0223302c6dda41c2.txt,public_v2,d93824eca0a1d27b4dceef58f92e9dda7d562049e6f7a04272a0ef182e06adb9,5abb3fda8875f4b728a79029700cb37e57cbb3574fc7a9ebea9ca2b940fdd43c,d93824eca0a1d27b4dceef58f92e9dda7d562049e6f7a04272a0ef182e06adb9,9dc2e696c8999536,4,bus;person,source_verified,,,d93824eca0a1d27b4dceef58f92e9dda7d562049e6f7a04272a0ef182e06adb9,full,,,,,,
open-images-test-02c41bf9d19fbae4,open_images:test:02c41bf9d19fbae4,open_images,02c41bf9d19fbae4,,,,duplicate-41bd3fec4773b25cd9fd,positive,train,images/train/open-images-test-02c41bf9d19fbae4.jpg,labels/train/open-images-test-02c41bf9d19fbae4.txt,public_v2,75eaa12a08b1d5dc57045bee037cc8e7eb6b4f004fca600ce0767de42b32ec0d,2d4eb2876a5df081d71429339907bcb24791c1867521e5cf5abf08da62f2057a,75eaa12a08b1d5dc57045bee037cc8e7eb6b4f004fca600ce0767de42b32ec0d,ab11ed4b868d195e,2,motorcycle;person,complete,,,75eaa12a08b1d5dc57045bee037cc8e7eb6b4f004fca600ce0767de42b32ec0d,full,,,,,,
open-images-test-02fe6fa20e531d67,open_images:test:02fe6fa20e531d67,open_images,02fe6fa20e531d67,,,,duplicate-833ee59057b89b5d956b,positive,train,images/train/open-images-test-02fe6fa20e531d67.jpg,labels/train/open-images-test-02fe6fa20e531d67.txt,public_v2,6393c7ac546fb467ee3d9fc1ca08ffb9f568a1e26528d452803cd05827a8c3d5,8bb0e24bb3f18d5f708924198e84abea64e7627b8bf62a4862f0ec3a40d94e24,6393c7ac546fb467ee3d9fc1ca08ffb9f568a1e26528d452803cd05827a8c3d5,c57d1d3f260c3925,1,car,source_verified,,,6393c7ac546fb467ee3d9fc1ca08ffb9f568a1e26528d452803cd05827a8c3d5,full,,,,,,
open-images-test-03092ceeef16cb24,open_images:test:03092ceeef16cb24,open_images,03092ceeef16cb24,,,,duplicate-252191376e97099da78c,positive,train,images/train/open-images-test-03092ceeef16cb24.jpg,labels/train/open-images-test-03092ceeef16cb24.txt,public_v2,e753f199ab58efc9dbf76087751ebe39f1f5ec84f412f474407d9d0d54976a53,6e9535f7dadc4ad952bc5d588eb9caac9e8dbde37ffb9fccdf004bb084b5decc,e753f199ab58efc9dbf76087751ebe39f1f5ec84f412f474407d9d0d54976a53,ff71d0bf71e00260,3,car;truck,source_verified,,,e753f199ab58efc9dbf76087751ebe39f1f5ec84f412f474407d9d0d54976a53,full,,,,,,
open-images-test-033377a3132d26e9,open_images:test:033377a3132d26e9,open_images,033377a3132d26e9,,,,duplicate-47734a770dfee03e7a70,positive,train,images/train/open-images-test-033377a3132d26e9.jpg,labels/train/open-images-test-033377a3132d26e9.txt,public_v2,d273fc2407d86000c5f09627fd51fb7ea1d02b0f0d09e24e05e0a1736cb7a224,e900e0059e3f56caa86a0cd97d17c261ea0891ad34b3bb44ec5b3758108ae66e,d273fc2407d86000c5f09627fd51fb7ea1d02b0f0d09e24e05e0a1736cb7a224,c50b299dda28bb3c,7,person,source_verified,,,d273fc2407d86000c5f09627fd51fb7ea1d02b0f0d09e24e05e0a1736cb7a224,full,,,,,,
open-images-test-03d80a6b7334ee7b,open_images:test:03d80a6b7334ee7b,open_images,03d80a6b7334ee7b,,,,duplicate-a89c4ab3068a4a4ab7a2,positive,train,images/train/open-images-test-03d80a6b7334ee7b.jpg,labels/train/open-images-test-03d80a6b7334ee7b.txt,public_v2,6c01b0853f060626dffcb87f88310ae3d4d5dd7e4ba1425e06e20737074bc1ef,de4b09bcf1241202492020587e206547b89a79a5352e6e5d40b6326c043d9d25,6c01b0853f060626dffcb87f88310ae3d4d5dd7e4ba1425e06e20737074bc1ef,ae16e519e5979823,1,motorcycle,complete,,,6c01b0853f060626dffcb87f88310ae3d4d5dd7e4ba1425e06e20737074bc1ef,full,,,,,,
open-images-test-03dc14885fc31cb2,open_images:test:03dc14885fc31cb2,open_images,03dc14885fc31cb2,,,,duplicate-ff482f6063a69d5f2da7,positive,train,images/train/open-images-test-03dc14885fc31cb2.jpg,labels/train/open-images-test-03dc14885fc31cb2.txt,public_v2,f6bd63dca477e7eb13abfa96542ab46ca71723d3001acdcbf6dbbd8cb7bab03c,1707fd9f272b1a9128a47a90341744c834b64770a6fe0fe9ce86f5346af23eb4,f6bd63dca477e7eb13abfa96542ab46ca71723d3001acdcbf6dbbd8cb7bab03c,a48356491939ffb2,1,bicycle,complete,,,f6bd63dca477e7eb13abfa96542ab46ca71723d3001acdcbf6dbbd8cb7bab03c,full,,,,,,
