image_id,source_identity,source_dataset,source_version,source_id,original_url,landing_url,author,license_url,attribution,site_id,camera_id,sequence_id,event_id,timestamp,group_id,polarity,primary_stratum,annotation_source,review_status,annotator,reviewer,source_sha256,decoded_sha256,compiled_sha256,phash,embedding_model,split,image_path,label_path,cohort,original_file_name,task_id
open-images-test-001eb42ffe74be81,open_images:test:001eb42ffe74be81,open_images,V7,001eb42ffe74be81,https://farm2.staticflickr.com/6183/6097504753_48fccd022f_o.jpg,https://www.flickr.com/photos/hugo90/6097504753,JOHN LLOYD,https://creativecommons.org/licenses/by/2.0/,JOHN LLOYD / Open Images V7,,,,,,duplicate-d8434fdf599d3904264e,positive,difficult_positive,open_images_reviewed_source,source_verified,,,853ff3446a0ea212f06d87e5527d452ed9eec16797d580a1f79ebb7e104f160a,ec810fd0e2fe79360e096be4e6731d65a198ffc1c1e6c71304e36bf03b01a870,3f13d57cc34d4b631b74a0506bf176bade8a9db0fb7788475288903854bf1e74,aefac585a502378d,sscd_disc_mixup.torchscript.pt@sha256:9f26bd4c848cc19b73d2ae92eea6e04886f61a7b764ceb7a13aeee62e6a6db56,train,images/train/open-images-test-001eb42ffe74be81.jpg,labels/train/open-images-test-001eb42ffe74be81.txt,public_v2,open-images-test-001eb42ffe74be81.jpg,
open-images-test-001efdd4bdffbfc7,open_images:test:001efdd4bdffbfc7,open_images,V7,001efdd4bdffbfc7,https://farm8.staticflickr.com/7135/7524431262_3693befc0e_o.jpg,https://www.flickr.com/photos/29233640@N07/7524431262,Robert Couse-Baker,https://creativecommons.org/licenses/by/2.0/,Robert Couse-Baker / Open Images V7,,,,,,duplicate-b37a0c4037eb6cae9651,positive,common_positive,open_images_reviewed_source,source_verified,,,6cbd6363b2ae8b9bfa7f1efd006700845175bdc691dfac9cdb88934d297ee3c0,c6f86c63935fa579ef643decb15c4a7828e931dfbdd2bcc1dff0469c864eae0d,597a37269da6063be33e33a42ba32571c3b5f0f912478d198bf4227c0081e548,959f7a6885951a6a,sscd_disc_mixup.torchscript.pt@sha256:9f26bd4c848cc19b73d2ae92eea6e04886f61a7b764ceb7a13aeee62e6a6db56,train,images/train/open-images-test-001efdd4bdffbfc7.jpg,labels/train/open-images-test-001efdd4bdffbfc7.txt,public_v2,open-images-test-001efdd4bdffbfc7.jpg,
open-images-test-002200be72145198,open_images:test:002200be72145198,open_images,V7,002200be72145198,https://c1.staticflickr.com/5/4072/4394324495_530606e03d_o.jpg,https://www.flickr.com/photos/ndrwfgg/4394324495/,Andy / Andrew Fogg,https://creativecommons.org/licenses/by/2.0/,Andy / Andrew Fogg / Open Images V7,,,,,,duplicate-a0bb9f4ee6f31a79978e,positive,difficult_positive,open_images_reviewed_source,source_verified,,,45468cda20426305bf760f8adf1a43a14f86d3858ea9dc35e08bd5807472b015,29b8c64ab87f83be24bd5d9f6c6deefea7be8a40c8afc15896cc9cea163055e2,13d86f9ffeba8d4f269496be83b6f596c0c385e7969ae092828f4e0779c27d0f,bc3efe9cdc848301,sscd_disc_mixup.torchscript.pt@sha256:9f26bd4c848cc19b73d2ae92eea6e04886f61a7b764ceb7a13aeee62e6a6db56,train,images/train/open-images-test-002200be72145198.jpg,labels/train/open-images-test-002200be72145198.txt,public_v2,open-images-test-002200be72145198.jpg,
open-images-test-00835f0fbe950715,open_images:test:00835f0fbe950715,open_images,V7,00835f0fbe950715,https://farm6.staticflickr.com/5641/21056841855_0706c3b035_o.jpg,https://www.flickr.com/photos/115391424@N05/21056841855,lasta29,https://creativecommons.org/licenses/by/2.0/,lasta29 / Open Images V7,,,,,,duplicate-70d53f99f308c176da7e,positive,difficult_positive,open_images_reviewed_source,source_verified,,,7400d8321e18980a3db8f3c57be42f77bd374860c99a45db6f8f579dfb7201f1,9325116b2d6f412ca62d2ca0cca12d35f7eace03e864a0472394a510e8018eed,a8e674b78bcb8c814f0d128c3787332f149d31ff89e14ee0fea6474801a77786,a480c7c6999b79e6,sscd_disc_mixup.torchscript.pt@sha256:9f26bd4c848cc19b73d2ae92eea6e04886f61a7b764ceb7a13aeee62e6a6db56,train,images/train/open-images-test-00835f0fbe950715.jpg,labels/train/open-images-test-00835f0fbe950715.txt,public_v2,open-images-test-00835f0fbe950715.jpg,
open-images-test-00f4d10c0878338b,open_images:test:00f4d10c0878338b,open_images,V7,00f4d10c0878338b,https://c4.staticflickr.com/5/4062/4454182346_46b9b6f18c_o.jpg,https://www.flickr.com/photos/44803168@N07/4454182346,Denise M M GTS,https://creativecommons.org/licenses/by/2.0/,Denise M M GTS / Open Images V7,,,,,,duplicate-ac33960f6d7cea25224e,positive,difficult_positive,open_images_reviewed_source,source_verified,,,18f0b5802f8ed79c47fbe883455d055137dc2e1d0566f0c136607c1cdfc1a740,db775a60510283ec0eee9308e58a6620528f4fbdb87c6b783688b3a09f2b5a97,5868fb79a3ca1e7614120c465b11c3327cea4358cc8b785f8bd714919f4c9334,c490ff4f0064bfd2,sscd_disc_mixup.torchscript.pt@sha256:9f26bd4c848cc19b73d2ae92eea6e04886f61a7b764ceb7a13aeee62e6a6db56,train,images/train/open-images-test-00f4d10c0878338b.jpg,labels/train/open-images-test-00f4d10c0878338b.txt,public_v2,open-images-test-00f4d10c0878338b.jpg,
open-images-test-014ed3708b01f8d2,open_images:test:014ed3708b01f8d2,open_images,V7,014ed3708b01f8d2,https://farm3.staticflickr.com/4077/4916152991_fd660f955d_o.jpg,https://www.flickr.com/photos/caroenvoyage/4916152991,caroenvoyage,https://creativecommons.org/licenses/by/2.0/,caroenvoyage / Open Images V7,,,,,,duplicate-5750d18e7ec4f03bb888,positive,difficult_positive,open_images_reviewed_source,source_verified,,,7f90286c7e33ac7db780d58df7de4df34b23be8bbfd8882a267215674d108f51,6b3ff09f9aa7aecd362e9228acebd60b3f92e26a28f741c2da4142ea297c4405,cdaa78e134a30a467fa2bb0d8d9aa844da7fa7eacc2f82443661a367c9655042,c5d4107afa718a3b,sscd_disc_mixup.torchscript.pt@sha256:9f26bd4c848cc19b73d2ae92eea6e04886f61a7b764ceb7a13aeee62e6a6db56,train,images/train/open-images-test-014ed3708b01f8d2.jpg,labels/train/open-images-test-014ed3708b01f8d2.txt,public_v2,open-images-test-014ed3708b01f8d2.jpg,
open-images-test-014ed795e501662f,open_images:test:014ed795e501662f,open_images,V7,014ed795e501662f,https://c8.staticflickr.com/3/2623/3799825666_335908303e_o.jpg,https://www.flickr.com/photos/thomasrdororg/3799825666,Tom Reynolds,https://creativecommons.org/licenses/by/2.0/,Tom Reynolds / Open Images V7,,,,,,duplicate-b212d0bc6798a8e19641,positive,common_positive,open_images_reviewed_source,source_verified,,,9564c1a33c6d1fee0f0bcc3c7b90b69f94d612e0e0e88019b9120da2ed93d987,d768f354055cf73955cbd66e60daa0f7d0291afc4dd45c2b38fd982d50927d0b,b686f0a5a61acc47d75861a5ec164e627e55756afc3a97c8f04d27ac961ba8df,f3c69fa88878490f,sscd_disc_mixup.torchscript.pt@sha256:9f26bd4c848cc19b73d2ae92eea6e04886f61a7b764ceb7a13aeee62e6a6db56,train,images/train/open-images-test-014ed795e501662f.jpg,labels/train/open-images-test-014ed795e501662f.txt,public_v2,open-images-test-014ed795e501662f.jpg,
open-images-test-0181113141f69df7,open_images:test:0181113141f69df7,open_images,V7,0181113141f69df7,https://farm8.staticflickr.com/7593/16667862888_1f83368303_o.jpg,https://www.flickr.com/photos/losmocanos/16667862888,LosMocanos.com,https://creativecommons.org/licenses/by/2.0/,LosMocanos.com / Open Images V7,,,,,,duplicate-59e3818fa1ea327e518a,positive,difficult_positive,open_images_reviewed_source,source_verified,,,009595b1443758a0396f38648ec1c1db8a788a8234d9a39baf7b15186c41f3c8,163365634421e583291ced1e4bad51a4cfe059fd4c0951403770cc675ac5e3b5,0afbb6dbe0dcef3f30cab0312978d7634a3131fe46508c91fb9a2ba02648cb7c,c592e8fa3d46c526,sscd_disc_mixup.torchscript.pt@sha256:9f26bd4c848cc19b73d2ae92eea6e04886f61a7b764ceb7a13aeee62e6a6db56,train,images/train/open-images-test-0181113141f69df7.jpg,labels/train/open-images-test-0181113141f69df7.txt,public_v2,open-images-test-0181113141f69df7.jpg,
open-images-test-01e95e88e8e2ace2,open_images:test:01e95e88e8e2ace2,open_images,V7,01e95e88e8e2ace2,https://farm3.staticflickr.com/3088/3241039389_c4d8566a67_o.jpg,https://www.flickr.com/photos/goodrob13/3241039389,Rob DiCaterino,https://creativecommons.org/licenses/by/2.0/,Rob DiCaterino / Open Images V7,,,,,,duplicate-777a0b2f48ba29d93a59,positive,difficult_positive,open_images_reviewed_source,source_verified,,,70a7c7b228636fab3848f3a8c53b57dd9ccdca590de0b441c4b9f54bef21086c,89896d7cae6616f4bc075d9af0ac6e1e68b2d8c10a82ad08b1d3cced28b29e12,483aa5032b3e7462eda950a487c0f409a185740863a95717a1526db32558469a,96b6ad6748484d5b,sscd_disc_mixup.torchscript.pt@sha256:9f26bd4c848cc19b73d2ae92eea6e04886f61a7b764ceb7a13aeee62e6a6db56,train,images/train/open-images-test-01e95e88e8e2ace2.jpg,labels/train/open-images-test-01e95e88e8e2ace2.txt,public_v2,open-images-test-01e95e88e8e2ace2.jpg,
open-images-test-0223302c6dda41c2,open_images:test:0223302c6dda41c2,open_images,V7,0223302c6dda41c2,https://farm3.staticflickr.com/6012/5919768176_81fba0577c_o.jpg,https://www.flickr.com/photos/dansbusphotos/5919768176,Danny&#x27;s Bus Photos,https://creativecommons.org/licenses/by/2.0/,Danny&#x27;s Bus Photos / Open Images V7,,,,,,duplicate-7dd2909000251303cd5d,positive,difficult_positive,open_images_reviewed_source,source_verified,,,1624ebbcc694d4391f1989484613046c8dbcf5745bb568a8b93194d34053de8e,fd11dda3df685de9e3608c35ac05aaeb46420a7a1ad5e1caef8870299adedb98,d93824eca0a1d27b4dceef58f92e9dda7d562049e6f7a04272a0ef182e06adb9,9dc2e696c8999536,sscd_disc_mixup.torchscript.pt@sha256:9f26bd4c848cc19b73d2ae92eea6e04886f61a7b764ceb7a13aeee62e6a6db56,train,images/train/open-images-test-0223302c6dda41c2.jpg,labels/train/open-images-test-0223302c6dda41c2.txt,public_v2,open-images-test-0223302c6dda41c2.jpg,
